,account,allocation,Unnamed: 0,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle,Usage,Usage_Portion,SU_job,SU_user,Job_user
24,pi-aachien,0.05,91.0,1441.0,0.01495756,1.0,60.9077,5.4254,14956.2286,2017.0,14957.56,0.2991512,10.379986120749479,14957.56,1441.0
24,pi-aachien,0.05,86.0,492.0,0.02162894,3.0,150.6098,11.5427,11836.7239,2018.0,21628.94,0.4325788,43.961260162601626,7209.6466666666665,164.0
25,pi-rkessler,0.05,37.0,51447.0,0.006749010000000001,5.0,0.9982,1.002,6452.9975,2013.0,6749.01,0.1349802,0.1311837424922736,1349.8020000000001,10289.4
25,pi-rkessler,0.05,44.0,138970.0,0.02867389,7.0,0.9883,1.0121,27904.7267,2014.0,28673.89,0.5734778,0.2063315103979276,4096.2699999999995,19852.85714285714
25,pi-rkessler,0.05,41.0,125051.0,0.05918174,7.0,1.0444,1.0352,58477.6172,2015.0,59181.74,1.0,0.4732608295815307,8454.534285714286,17864.428571428572
25,pi-rkessler,0.05,7.0,240667.0,0.7481218199999999,18.0,1.9588,0.9971,746889.8844,2016.0,748121.82,1.0,3.1085351128322536,41562.323333333334,13370.388888888889
25,pi-rkessler,0.05,20.0,336200.0,0.87826485,21.0,1.5678,1.0175,874281.3025,2017.0,878264.85,1.0,2.612328524687686,41822.135714285716,16009.52380952381
25,pi-rkessler,0.05,20.0,510786.0,0.68543339,16.0,2.0454,1.0294,673330.9094,2018.0,685433.39,1.0,1.3419189053732874,42839.586875,31924.125
26,pi-aclyu,0.05,50.0,107.0,0.00094058,2.0,2.1308,1.1308,940.1072,2013.0,940.58,0.0188116,8.790467289719627,470.29,53.5
26,pi-aclyu,0.05,68.0,553.0,0.0030516,6.0,3.7902,3.34,3049.0181,2014.0,3051.6,0.061031999999999996,5.518264014466546,508.59999999999997,92.16666666666667
26,pi-aclyu,0.05,71.0,385.0,0.01416433,5.0,13.5377,2.1558,14162.6486,2015.0,14164.33,0.2832866,36.79046753246753,2832.866,77.0
26,pi-aclyu,0.05,104.0,76.0,0.00391142,5.0,12.8421,1.1974,3911.1019,2016.0,3911.42,0.0782284,51.46605263157895,782.284,15.2
26,pi-aclyu,0.05,94.0,282.0,0.0124485,5.0,8.2021,0.9894,12447.2589,2017.0,12448.5,0.24897,44.1436170212766,2489.7,56.4
27,pi-taddy,0.05,34.0,287.0,0.00790826,1.0,93.3066,6.2857,7907.3089,2013.0,7908.26,0.1581652,27.554912891986064,7908.26,287.0
27,pi-taddy,0.05,21.0,478.0,0.16265884,4.0,291.7971,19.9854,162657.0831,2014.0,162658.84,1.0,340.290460251046,40664.71,119.5
27,pi-taddy,0.05,9.0,1414.0,0.78703265,8.0,130.4208,8.5375,787027.1911,2015.0,787032.65,1.0,556.6001768033947,98379.08125,176.75
27,pi-taddy,0.05,4.0,5395.0,1.2924073,11.0,78.7809,4.9783,1292390.0911,2016.0,1292407.3,1.0,239.5564967562558,117491.57272727274,490.45454545454544
27,pi-taddy,0.05,28.0,16597.0,0.50650408,6.0,15.8582,1.4131,304900.9497,2017.0,506504.08,1.0,30.51780924263421,84417.34666666666,2766.1666666666665
27,pi-taddy,0.05,16.0,10669.0,0.91311183,5.0,27.4392,1.9571,538833.7619,2018.0,913111.83,1.0,85.58551223169931,182622.36599999998,2133.8
28,pi-arzhetsky,0.05,32.0,1467.0,0.011715149999999999,2.0,3.591,1.0798,11708.1192,2013.0,11715.15,0.23430299999999998,7.985787321063395,5857.575,733.5
28,pi-arzhetsky,0.05,87.0,634.0,0.0006218899999999999,1.0,0.9937,1.0063,618.5153,2014.0,621.89,0.0124378,0.9808990536277602,621.89,634.0
28,pi-arzhetsky,0.05,75.0,444.0,0.01065151,2.0,8.6216,1.0518,10649.3097,2015.0,10651.51,0.2130302,23.989887387387387,5325.755,222.0
28,pi-arzhetsky,0.05,25.0,6244.0,0.33062661,5.0,2.6302,0.9848,330596.4786,2016.0,330626.61,1.0,52.95109064702114,66125.322,1248.8
28,pi-arzhetsky,0.05,8.0,35908.0,1.95088004,7.0,24.077,3.5686,1458694.5628,2017.0,1950880.04,1.0,54.329955441684305,278697.14857142855,5129.714285714285
28,pi-arzhetsky,0.05,8.0,6320.0,1.73874434,9.0,6.0981,1.0229,369816.5461,2018.0,1738744.34,1.0,275.1177753164557,193193.81555555557,702.2222222222222
29,pi-jtruran,0.05,28.0,186.0,0.02428669,3.0,25.3441,2.2527,24285.9411,2013.0,24286.69,0.4857338,130.57360215053762,8095.563333333333,62.0
30,pi-jfrieman,0.05,21.0,196.0,0.050276190000000005,1.0,8.0714,1.0204,50275.3428,2013.0,50276.19,1.0,256.51117346938776,50276.19,196.0
30,pi-jfrieman,0.05,17.0,699.0,0.20226016,1.0,9.6423,1.0029,202256.8306,2014.0,202260.16,1.0,289.356452074392,202260.16,699.0
30,pi-jfrieman,0.05,46.0,508.0,0.05122642,1.0,8.9961,1.0335,51224.3383,2015.0,51226.42,1.0,100.8394094488189,51226.42,508.0
